,Date,Time,ltp,strikeprice,CE_sum,PE_sum,CE_contr,PE_contr
152,26-02-2024,17:53:23,46576.5,46600,354081,297769,54.32,45.68
153,26-02-2024,17:53:58,46576.5,46600,354081,297769,54.32,45.68
154,26-02-2024,17:54:34,46576.5,46600,354081,297769,54.32,45.68
155,26-02-2024,17:55:10,46576.5,46600,354081,297769,54.32,45.68
156,26-02-2024,17:55:46,46576.5,46600,354081,297769,54.32,45.68
157,26-02-2024,17:56:21,46576.5,46600,354081,297769,54.32,45.68
158,26-02-2024,17:56:57,46576.5,46600,354081,297769,54.32,45.68
159,26-02-2024,17:57:33,46576.5,46600,354081,297769,54.32,45.68
160,26-02-2024,17:58:09,46576.5,46600,354081,297769,54.32,45.68
161,26-02-2024,17:58:29,46576.5,46600,354081,297769,54.32,45.68
162,26-02-2024,17:59:06,46576.5,46600,354081,297769,54.32,45.68
163,26-02-2024,17:59:42,46576.5,46600,354081,297769,54.32,45.68
164,26-02-2024,18:00:26,46576.5,46600,354081,297769,54.32,45.68
165,26-02-2024,18:01:02,46576.5,46600,354081,297769,54.32,45.68
166,26-02-2024,18:01:38,46576.5,46600,354081,297769,54.32,45.68
167,26-02-2024,18:02:14,46576.5,46600,354081,297769,54.32,45.68
168,26-02-2024,18:02:50,46576.5,46600,354081,297769,54.32,45.68
169,26-02-2024,18:03:26,46576.5,46600,354081,297769,54.32,45.68
170,26-02-2024,18:04:03,46576.5,46600,354081,297769,54.32,45.68
171,26-02-2024,18:04:39,46576.5,46600,354081,297769,54.32,45.68
172,26-02-2024,18:05:27,46576.5,46600,354081,297769,54.32,45.68
173,26-02-2024,18:06:02,46576.5,46600,354081,297769,54.32,45.68
174,26-02-2024,18:06:38,46576.5,46600,354081,297769,54.32,45.68
175,26-02-2024,18:07:14,46576.5,46600,354081,297769,54.32,45.68
176,26-02-2024,18:07:50,46576.5,46600,354081,297769,54.32,45.68
177,26-02-2024,18:08:26,46576.5,46600,354081,297769,54.32,45.68
178,26-02-2024,18:09:02,46576.5,46600,354081,297769,54.32,45.68
179,26-02-2024,18:09:37,46576.5,46600,354081,297769,54.32,45.68
180,26-02-2024,18:10:13,46576.5,46600,354081,297769,54.32,45.68
181,26-02-2024,18:10:55,46576.5,46600,354081,297769,54.32,45.68
182,26-02-2024,18:11:33,46576.5,46600,354081,297769,54.32,45.68
183,26-02-2024,18:12:09,46576.5,46600,354081,297769,54.32,45.68
184,26-02-2024,18:12:45,46576.5,46600,354081,297769,54.32,45.68
185,26-02-2024,18:13:21,46576.5,46600,354081,297769,54.32,45.68
186,26-02-2024,18:13:57,46576.5,46600,354081,297769,54.32,45.68
187,26-02-2024,18:14:21,46576.5,46600,354081,297769,54.32,45.68
188,26-02-2024,18:14:59,46576.5,46600,354081,297769,54.32,45.68
189,26-02-2024,18:15:37,46576.5,46600,354081,297769,54.32,45.68
190,26-02-2024,18:16:15,46576.5,46600,354081,297769,54.32,45.68
191,26-02-2024,18:16:51,46576.5,46600,354081,297769,54.32,45.68
192,26-02-2024,18:17:28,46576.5,46600,354081,297769,54.32,45.68
193,26-02-2024,18:18:03,46576.5,46600,354081,297769,54.32,45.68
194,26-02-2024,18:18:40,46576.5,46600,354081,297769,54.32,45.68
195,26-02-2024,18:19:15,46576.5,46600,354081,297769,54.32,45.68
196,26-02-2024,19:27:53,46576.5,46600,354081,297769,54.32,45.68
197,26-02-2024,19:28:31,46576.5,46600,354081,297769,54.32,45.68
198,27-02-2024,15:29:24,46600,46600,411399,409640,50.11,49.89
199,27-02-2024,15:29:34,46597.8,46600,822798,819280,50.11,49.89
200,27-02-2024,15:29:44,46602.45,46600,1234197,1228920,50.11,49.89
201,27-02-2024,15:29:54,46605.8,46600,1645596,1638560,50.11,49.89
202,27-02-2024,15:30:04,46614.25,46600,2056995,2048200,50.11,49.89
203,27-02-2024,15:30:13,46617.5,46600,2468394,2457840,50.11,49.89
204,27-02-2024,15:30:23,46617.5,46600,2879793,2867480,50.11,49.89
205,27-02-2024,15:30:33,46617.5,46600,3291192,3277120,50.11,49.89
206,27-02-2024,15:30:56,46617.5,46600,411399,409640,50.11,49.89
207,27-02-2024,15:31:07,46617.5,46600,411399,409640,50.11,49.89
208,27-02-2024,15:31:17,46617.5,46600,411399,409640,50.11,49.89
209,27-02-2024,15:31:26,46617.5,46600,411399,409640,50.11,49.89
210,27-02-2024,15:31:36,46617.5,46600,411399,409640,50.11,49.89
211,27-02-2024,15:31:45,46617.5,46600,411399,409640,50.11,49.89
212,27-02-2024,15:31:55,46617.5,46600,411399,409640,50.11,49.89
213,27-02-2024,15:32:06,46617.5,46600,411399,409640,50.11,49.89
214,27-02-2024,15:32:16,46617.5,46600,411399,409640,50.11,49.89
215,27-02-2024,15:32:26,46588.05,46600,411399,409640,50.11,49.89
216,27-02-2024,15:32:36,46588.05,46600,411399,409640,50.11,49.89
217,27-02-2024,15:34:48,46588.05,46600,411399,409640,50.11,49.89
218,27-02-2024,15:34:57,46588.05,46600,411399,409640,50.11,49.89
219,27-02-2024,15:35:06,46588.05,46600,411399,409640,50.11,49.89
220,27-02-2024,15:35:28,46588.05,46600,411399,409640,50.11,49.89
221,28-02-2024,11:25:17,46269.6,46300,778561,527987,59.59,40.41
222,28-02-2024,11:28:39,46230.6,46200,673939,515800,56.65,43.35
223,28-02-2024,11:30:39,46236.7,46200,673939,515800,56.65,43.35
224,28-02-2024,11:32:52,46269.1,46300,779904,543697,58.92,41.08
225,28-02-2024,11:56:12,46243.15,46200,712553,521703,57.73,42.27
226,28-02-2024,11:57:13,46240.8,46200,712553,521703,57.73,42.27
227,28-02-2024,11:58:12,46240.95,46200,712553,521703,57.73,42.27
228,28-02-2024,11:59:11,46242.05,46200,722009,519722,58.15,41.85
229,28-02-2024,12:00:12,46251.25,46300,812199,536018,60.24,39.76
230,28-02-2024,12:01:11,46253.3,46300,812199,536018,60.24,39.76
231,28-02-2024,12:02:12,46237.5,46200,732249,507134,59.08,40.92
232,28-02-2024,12:03:11,46208.5,46200,732249,507134,59.08,40.92
233,28-02-2024,12:04:11,46197.7,46200,732249,507134,59.08,40.92
234,28-02-2024,12:05:11,46174.15,46200,749037,485225,60.69,39.31
235,28-02-2024,12:06:11,46170.8,46200,749037,485225,60.69,39.31
236,28-02-2024,12:07:11,46167.05,46200,749037,485225,60.69,39.31
237,28-02-2024,12:08:12,46173.5,46200,759561,501714,60.22,39.78
238,28-02-2024,12:09:11,46203.85,46200,759561,501714,60.22,39.78
239,28-02-2024,12:10:11,46182.05,46200,759561,501714,60.22,39.78
240,28-02-2024,12:11:13,46194.1,46200,759601,495563,60.52,39.48
241,28-02-2024,12:12:11,46210.3,46200,759601,495563,60.52,39.48
242,28-02-2024,12:13:11,46225.4,46200,759601,495563,60.52,39.48
243,28-02-2024,12:14:11,46213.8,46200,760685,501084,60.29,39.71
244,28-02-2024,12:15:14,46237.55,46200,760685,501084,60.29,39.71
245,28-02-2024,12:16:15,46244.9,46200,760685,501084,60.29,39.71
246,28-02-2024,12:17:11,46223.9,46200,760956,507528,59.99,40.01
247,28-02-2024,12:18:13,46235.65,46200,760956,507528,59.99,40.01
248,28-02-2024,12:19:12,46233.7,46200,760956,507528,59.99,40.01
249,28-02-2024,12:20:12,46239.15,46200,762270,518636,59.51,40.49
250,28-02-2024,12:21:13,46239,46200,762270,518636,59.51,40.49
251,28-02-2024,12:22:12,46216.25,46200,762270,518636,59.51,40.49
252,28-02-2024,12:23:11,46223.7,46200,763581,521195,59.43,40.57
253,28-02-2024,12:24:11,46228.45,46200,763581,521195,59.43,40.57
254,28-02-2024,12:25:11,46229.85,46200,763581,521195,59.43,40.57
255,28-02-2024,12:27:11,46210.65,46200,769230,519731,59.68,40.32
256,28-02-2024,12:28:12,46209.5,46200,769230,519731,59.68,40.32
257,28-02-2024,12:29:13,46208.1,46200,774583,507679,60.41,39.59
258,28-02-2024,12:29:14,46208.1,46200,774583,507679,60.41,39.59
259,28-02-2024,12:30:12,46205.25,46200,774583,507679,60.41,39.59
260,28-02-2024,12:30:12,46205.25,46200,774583,507679,60.41,39.59
261,28-02-2024,12:31:13,46202.75,46200,774583,507679,60.41,39.59
262,28-02-2024,12:31:13,46202.75,46200,774583,507679,60.41,39.59
263,28-02-2024,12:32:13,46194.25,46200,778503,509668,60.43,39.57
264,28-02-2024,12:32:13,46194.25,46200,778503,509668,60.43,39.57
265,28-02-2024,12:33:15,46219.6,46200,778503,509668,60.43,39.57
266,28-02-2024,12:33:15,46219.6,46200,778503,509668,60.43,39.57
267,28-02-2024,12:34:12,46233.85,46200,778503,509668,60.43,39.57
268,28-02-2024,12:34:13,46233.85,46200,778503,509668,60.43,39.57
269,28-02-2024,12:35:13,46218.25,46200,778427,503042,60.74,39.26
270,28-02-2024,12:35:13,46218.25,46200,778427,503042,60.74,39.26
271,28-02-2024,12:36:13,46179.75,46200,778427,503042,60.74,39.26
272,28-02-2024,12:36:13,46179.75,46200,778427,503042,60.74,39.26
273,28-02-2024,12:37:12,46213.15,46200,778427,503042,60.74,39.26
274,28-02-2024,12:37:12,46213.15,46200,778427,503042,60.74,39.26
275,28-02-2024,12:38:12,46228.55,46200,779040,500581,60.88,39.12
276,28-02-2024,12:38:12,46228.55,46200,779040,500581,60.88,39.12
277,28-02-2024,12:39:13,46238.5,46200,779040,500581,60.88,39.12
278,28-02-2024,12:39:13,46238.5,46200,779040,500581,60.88,39.12
279,28-02-2024,12:40:13,46241.65,46200,779040,500581,60.88,39.12
280,28-02-2024,12:40:13,46241.65,46200,779040,500581,60.88,39.12
281,28-02-2024,12:41:13,46237.65,46200,791395,509428,60.84,39.16
